word,translation,pos,category,level,frequency,source
accommodation,住宿,noun,listening_accommodation,5,85,IELTS_Listening
apartment,公寓,noun,listening_accommodation,5,80,IELTS_Listening
flat,公寓,noun,listening_accommodation,5,85,IELTS_Listening
house,房子,noun,listening_accommodation,4,90,IELTS_Listening
dormitory,宿舍,noun,listening_accommodation,5,75,IELTS_Listening
hostel,旅舍,noun,listening_accommodation,5,70,IELTS_Listening
hotel,酒店,noun,listening_accommodation,4,85,IELTS_Listening
motel,汽车旅馆,noun,listening_accommodation,5,65,IELTS_Listening
residence,住宅,noun,listening_accommodation,6,70,IELTS_Listening
homestay,寄宿家庭,noun,listening_accommodation,5,75,IELTS_Listening
rent,租金,noun/verb,listening_accommodation,5,85,IELTS_Listening
deposit,押金,noun,listening_accommodation,5,80,IELTS_Listening
landlord,房东,noun,listening_accommodation,5,75,IELTS_Listening
landlady,女房东,noun,listening_accommodation,5,70,IELTS_Listening
tenant,租户,noun,listening_accommodation,6,70,IELTS_Listening
roommate,室友,noun,listening_accommodation,5,80,IELTS_Listening
bathroom,浴室,noun,listening_accommodation,4,90,IELTS_Listening
bedroom,卧室,noun,listening_accommodation,4,90,IELTS_Listening
kitchen,厨房,noun,listening_accommodation,4,90,IELTS_Listening
living room,客厅,noun,listening_accommodation,4,85,IELTS_Listening
dining room,餐厅,noun,listening_accommodation,4,80,IELTS_Listening
garage,车库,noun,listening_accommodation,5,75,IELTS_Listening
garden,花园,noun,listening_accommodation,4,80,IELTS_Listening
balcony,阳台,noun,listening_accommodation,5,70,IELTS_Listening
basement,地下室,noun,listening_accommodation,5,70,IELTS_Listening
furniture,家具,noun,listening_accommodation,5,75,IELTS_Listening
furnished,带家具的,adjective,listening_accommodation,5,75,IELTS_Listening
unfurnished,无家具的,adjective,listening_accommodation,6,65,IELTS_Listening
facility,设施,noun,listening_accommodation,6,75,IELTS_Listening
utilities,公用事业,noun,listening_accommodation,6,70,IELTS_Listening
heating,暖气,noun,listening_accommodation,5,75,IELTS_Listening
air conditioning,空调,noun,listening_accommodation,5,75,IELTS_Listening
refrigerator,冰箱,noun,listening_accommodation,5,80,IELTS_Listening
fridge,冰箱,noun,listening_accommodation,4,85,IELTS_Listening
washing machine,洗衣机,noun,listening_accommodation,5,80,IELTS_Listening
microwave,微波炉,noun,listening_accommodation,5,75,IELTS_Listening
stove,炉子,noun,listening_accommodation,5,75,IELTS_Listening
oven,烤箱,noun,listening_accommodation,5,75,IELTS_Listening
dishwasher,洗碗机,noun,listening_accommodation,5,70,IELTS_Listening
vacuum cleaner,吸尘器,noun,listening_accommodation,5,70,IELTS_Listening
lease,租约,noun,listening_accommodation,6,70,IELTS_Listening
property,房产,noun,listening_accommodation,6,75,IELTS_Listening
neighborhood,社区,noun,listening_accommodation,5,75,IELTS_Listening
suburb,郊区,noun,listening_accommodation,5,70,IELTS_Listening
downtown,市中心,noun,listening_accommodation,5,75,IELTS_Listening
address,地址,noun,listening_accommodation,4,85,IELTS_Listening
