word,translation,pos,category,level,frequency,source
astronomy,天文学,noun,reading_science_technology,7,70,IELTS_Reading
biology,生物学,noun,reading_science_technology,6,75,IELTS_Reading
chemistry,化学,noun,reading_science_technology,6,75,IELTS_Reading
physics,物理,noun,reading_science_technology,6,75,IELTS_Reading
genetics,遗传学,noun,reading_science_technology,7,70,IELTS_Reading
evolution,进化,noun,reading_science_technology,7,75,IELTS_Reading
experiment,实验,noun,reading_science_technology,5,80,IELTS_Reading
hypothesis,假设,noun,reading_science_technology,7,70,IELTS_Reading
laboratory,实验室,noun,reading_science_technology,6,75,IELTS_Reading
molecule,分子,noun,reading_science_technology,7,70,IELTS_Reading
organism,有机体,noun,reading_science_technology,7,70,IELTS_Reading
species,物种,noun,reading_science_technology,6,75,IELTS_Reading
algorithm,算法,noun,reading_science_technology,7,75,IELTS_Reading
artificial,人工的,adjective,reading_science_technology,6,80,IELTS_Reading
automation,自动化,noun,reading_science_technology,7,75,IELTS_Reading
breakthrough,突破,noun,reading_science_technology,7,75,IELTS_Reading
computing,计算,noun,reading_science_technology,6,75,IELTS_Reading
cyberspace,网络空间,noun,reading_science_technology,7,70,IELTS_Reading
digital,数字的,adjective,reading_science_technology,6,85,IELTS_Reading
innovation,创新,noun,reading_science_technology,6,80,IELTS_Reading
mechanism,机制,noun,reading_science_technology,6,75,IELTS_Reading
network,网络,noun,reading_science_technology,5,85,IELTS_Reading
satellite,卫星,noun,reading_science_technology,6,75,IELTS_Reading
software,软件,noun,reading_science_technology,5,85,IELTS_Reading
agriculture,农业,noun,reading_environment,6,75,IELTS_Reading
biodiversity,生物多样性,noun,reading_environment,8,70,IELTS_Reading
carbon,碳,noun,reading_environment,5,75,IELTS_Reading
climate,气候,noun,reading_environment,5,85,IELTS_Reading
conservation,保护,noun,reading_environment,6,75,IELTS_Reading
contamination,污染,noun,reading_environment,7,70,IELTS_Reading
deforestation,森林砍伐,noun,reading_environment,8,65,IELTS_Reading
drought,干旱,noun,reading_environment,5,70,IELTS_Reading
ecology,生态学,noun,reading_environment,7,70,IELTS_Reading
ecosystem,生态系统,noun,reading_environment,7,75,IELTS_Reading
emission,排放,noun,reading_environment,6,75,IELTS_Reading
endangered,濒危的,adjective,reading_environment,6,70,IELTS_Reading
erosion,侵蚀,noun,reading_environment,6,65,IELTS_Reading
extinction,灭绝,noun,reading_environment,7,70,IELTS_Reading
flood,洪水,noun,reading_environment,4,75,IELTS_Reading
fossil fuel,化石燃料,noun,reading_environment,6,70,IELTS_Reading
global warming,全球变暖,noun,reading_environment,6,75,IELTS_Reading
greenhouse,温室,noun,reading_environment,6,70,IELTS_Reading
habitat,栖息地,noun,reading_environment,6,75,IELTS_Reading
irrigation,灌溉,noun,reading_environment,7,65,IELTS_Reading
pollutant,污染物,noun,reading_environment,7,70,IELTS_Reading
recycling,回收,noun,reading_environment,6,75,IELTS_Reading
renewable,可再生的,adjective,reading_environment,7,75,IELTS_Reading
sustainable,可持续的,adjective,reading_environment,7,75,IELTS_Reading
addiction,上瘾,noun,reading_health_medicine,6,75,IELTS_Reading
antibody,抗体,noun,reading_health_medicine,7,65,IELTS_Reading
bacteria,细菌,noun,reading_health_medicine,6,75,IELTS_Reading
cardiovascular,心血管的,adjective,reading_health_medicine,8,65,IELTS_Reading
chronic,慢性的,adjective,reading_health_medicine,7,70,IELTS_Reading
diabetes,糖尿病,noun,reading_health_medicine,7,70,IELTS_Reading
epidemic,流行病,noun,reading_health_medicine,7,75,IELTS_Reading
fatigue,疲劳,noun,reading_health_medicine,6,70,IELTS_Reading
hormone,荷尔蒙,noun,reading_health_medicine,6,70,IELTS_Reading
hygiene,卫生,noun,reading_health_medicine,6,70,IELTS_Reading
metabolism,新陈代谢,noun,reading_health_medicine,7,65,IELTS_Reading
nutrition,营养,noun,reading_health_medicine,6,75,IELTS_Reading
obesity,肥胖,noun,reading_health_medicine,7,70,IELTS_Reading
paralysis,瘫痪,noun,reading_health_medicine,7,65,IELTS_Reading
prevention,预防,noun,reading_health_medicine,6,75,IELTS_Reading
protein,蛋白质,noun,reading_health_medicine,6,70,IELTS_Reading
psychiatry,精神病学,noun,reading_health_medicine,8,60,IELTS_Reading
remedy,疗法,noun,reading_health_medicine,6,70,IELTS_Reading
resistance,抵抗力,noun,reading_health_medicine,6,75,IELTS_Reading
therapy,治疗,noun,reading_health_medicine,6,75,IELTS_Reading
tissue,组织,noun,reading_health_medicine,6,70,IELTS_Reading
toxic,有毒的,adjective,reading_health_medicine,6,70,IELTS_Reading
virus,病毒,noun,reading_health_medicine,5,80,IELTS_Reading
wellness,健康,noun,reading_health_medicine,6,70,IELTS_Reading
ancestor,祖先,noun,reading_society_culture,5,75,IELTS_Reading
anthropology,人类学,noun,reading_society_culture,8,60,IELTS_Reading
archeology,考古学,noun,reading_society_culture,8,60,IELTS_Reading
civilization,文明,noun,reading_society_culture,6,75,IELTS_Reading
custom,习俗,noun,reading_society_culture,5,75,IELTS_Reading
democracy,民主,noun,reading_society_culture,6,75,IELTS_Reading
discrimination,歧视,noun,reading_society_culture,7,75,IELTS_Reading
diversity,多样性,noun,reading_society_culture,6,75,IELTS_Reading
ethnic,民族的,adjective,reading_society_culture,6,75,IELTS_Reading
generation,一代,noun,reading_society_culture,5,85,IELTS_Reading
heritage,遗产,noun,reading_society_culture,6,70,IELTS_Reading
immigrant,移民,noun,reading_society_culture,6,75,IELTS_Reading
indigenous,土著的,adjective,reading_society_culture,7,70,IELTS_Reading
inequality,不平等,noun,reading_society_culture,7,70,IELTS_Reading
institution,机构,noun,reading_society_culture,6,80,IELTS_Reading
minority,少数,noun,reading_society_culture,6,75,IELTS_Reading
prejudice,偏见,noun,reading_society_culture,6,70,IELTS_Reading
ritual,仪式,noun,reading_society_culture,6,70,IELTS_Reading
social,社会的,adjective,reading_society_culture,4,90,IELTS_Reading
society,社会,noun,reading_society_culture,4,90,IELTS_Reading
tradition,传统,noun,reading_society_culture,5,80,IELTS_Reading
tribe,部落,noun,reading_society_culture,5,70,IELTS_Reading
urban,城市的,adjective,reading_society_culture,6,75,IELTS_Reading
welfare,福利,noun,reading_society_culture,6,75,IELTS_Reading
adolescent,青少年,noun,reading_psychology,7,70,IELTS_Reading
anxiety,焦虑,noun,reading_psychology,6,75,IELTS_Reading
assumption,假设,noun,reading_psychology,6,75,IELTS_Reading
behavior,行为,noun,reading_psychology,5,85,IELTS_Reading
cognitive,认知的,adjective,reading_psychology,7,70,IELTS_Reading
conscious,有意识的,adjective,reading_psychology,6,75,IELTS_Reading
depression,抑郁,noun,reading_psychology,7,75,IELTS_Reading
disorder,失调,noun,reading_psychology,6,75,IELTS_Reading
emotion,情绪,noun,reading_psychology,5,80,IELTS_Reading
empathy,共情,noun,reading_psychology,7,65,IELTS_Reading
instinct,本能,noun,reading_psychology,6,70,IELTS_Reading
intelligence,智力,noun,reading_psychology,6,80,IELTS_Reading
motivation,动机,noun,reading_psychology,7,75,IELTS_Reading
perception,感知,noun,reading_psychology,7,75,IELTS_Reading
personality,个性,noun,reading_psychology,6,75,IELTS_Reading
psychological,心理的,adjective,reading_psychology,7,75,IELTS_Reading
reinforcement,强化,noun,reading_psychology,7,65,IELTS_Reading
self-esteem,自尊,noun,reading_psychology,6,70,IELTS_Reading
sensation,感觉,noun,reading_psychology,6,70,IELTS_Reading
stimulus,刺激,noun,reading_psychology,7,70,IELTS_Reading
subconscious,潜意识,noun,reading_psychology,7,65,IELTS_Reading
syndrome,综合征,noun,reading_psychology,7,70,IELTS_Reading
therapy,治疗,noun,reading_psychology,6,75,IELTS_Reading
trait,特征,noun,reading_psychology,6,70,IELTS_Reading
