word,translation,pos,category,level,frequency,source
scientific,科学的,adjective,reading_science,5,45,IELTS_Reading
scientist,科学家,noun,reading_science,5,45,IELTS_Reading
research,研究,noun/verb,reading_science,5,45,IELTS_Reading
researcher,研究者,noun,reading_science,5,45,IELTS_Reading
experiment,实验,noun,reading_science,5,45,IELTS_Reading
experimental,实验的,adjective,reading_science,6,43,IELTS_Reading
hypothesis,假设,noun,reading_science,7,41,IELTS_Reading
theory,理论,noun,reading_science,5,45,IELTS_Reading
theoretical,理论的,adjective,reading_science,6,43,IELTS_Reading
phenomenon,现象,noun,reading_science,6,43,IELTS_Reading
phenomena,现象,noun,reading_science,6,43,IELTS_Reading
observation,观察,noun,reading_science,6,43,IELTS_Reading
evidence,证据,noun,reading_science,5,45,IELTS_Reading
data,数据,noun,reading_science,5,45,IELTS_Reading
statistics,统计,noun,reading_science,6,43,IELTS_Reading
analysis,分析,noun,reading_science,6,43,IELTS_Reading
analyze,分析,verb,reading_science,6,43,IELTS_Reading
investigation,调查,noun,reading_science,6,43,IELTS_Reading
measurement,测量,noun,reading_science,6,43,IELTS_Reading
calculation,计算,noun,reading_science,6,43,IELTS_Reading
precise,精确的,adjective,reading_science,6,43,IELTS_Reading
accurate,精确的,adjective,reading_science,6,43,IELTS_Reading
valid,有效的,adjective,reading_science,6,43,IELTS_Reading
reliable,可靠的,adjective,reading_science,6,43,IELTS_Reading
significant,重要的,adjective,reading_science,6,43,IELTS_Reading
conclusion,结论,noun,reading_science,5,45,IELTS_Reading
finding,发现,noun,reading_science,5,45,IELTS_Reading
discovery,发现,noun,reading_science,5,45,IELTS_Reading
invention,发明,noun,reading_science,5,45,IELTS_Reading
innovation,创新,noun,reading_science,6,43,IELTS_Reading
technology,技术,noun,reading_science,5,45,IELTS_Reading
technological,技术的,adjective,reading_science,6,43,IELTS_Reading
biological,生物的,adjective,reading_science,6,43,IELTS_Reading
chemical,化学的,adjective,reading_science,6,43,IELTS_Reading
physical,物理的,adjective,reading_science,6,43,IELTS_Reading
genetic,基因的,adjective,reading_science,6,43,IELTS_Reading
molecular,分子的,adjective,reading_science,7,41,IELTS_Reading
cellular,细胞的,adjective,reading_science,7,41,IELTS_Reading
organism,生物,noun,reading_science,6,43,IELTS_Reading
species,物种,noun,reading_science,6,43,IELTS_Reading
evolution,进化,noun,reading_science,6,43,IELTS_Reading
ecosystem,生态系统,noun,reading_science,7,41,IELTS_Reading
environment,环境,noun,reading_environment,5,45,IELTS_Reading
environmental,环境的,adjective,reading_environment,6,43,IELTS_Reading
ecology,生态学,noun,reading_environment,7,41,IELTS_Reading
ecological,生态的,adjective,reading_environment,7,41,IELTS_Reading
pollution,污染,noun,reading_environment,5,45,IELTS_Reading
pollutant,污染物,noun,reading_environment,7,41,IELTS_Reading
contamination,污染,noun,reading_environment,7,41,IELTS_Reading
climate,气候,noun,reading_environment,5,45,IELTS_Reading
climate change,气候变化,noun,reading_environment,5,45,IELTS_Reading
global warming,全球变暖,noun,reading_environment,6,43,IELTS_Reading
greenhouse,温室,noun,reading_environment,6,43,IELTS_Reading
emission,排放,noun,reading_environment,7,41,IELTS_Reading
carbon dioxide,二氧化碳,noun,reading_environment,6,43,IELTS_Reading
sustainable,可持续的,adjective,reading_environment,7,41,IELTS_Reading
sustainability,可持续性,noun,reading_environment,7,41,IELTS_Reading
renewable,可再生的,adjective,reading_environment,7,41,IELTS_Reading
conservation,保护,noun,reading_environment,6,43,IELTS_Reading
preserve,保护,verb,reading_environment,6,43,IELTS_Reading
protection,保护,noun,reading_environment,5,45,IELTS_Reading
biodiversity,生物多样性,noun,reading_environment,7,41,IELTS_Reading
habitat,栖息地,noun,reading_environment,6,43,IELTS_Reading
wildlife,野生动物,noun,reading_environment,6,43,IELTS_Reading
endangered,濒危的,adjective,reading_environment,6,43,IELTS_Reading
extinct,灭绝的,adjective,reading_environment,7,41,IELTS_Reading
extinction,灭绝,noun,reading_environment,7,41,IELTS_Reading
natural,自然的,adjective,reading_environment,5,45,IELTS_Reading
nature,自然,noun,reading_environment,4,47,IELTS_Reading
resource,资源,noun,reading_environment,5,45,IELTS_Reading
energy,能源,noun,reading_environment,5,45,IELTS_Reading
solar,太阳的,adjective,reading_environment,5,45,IELTS_Reading
nuclear,核的,adjective,reading_environment,6,43,IELTS_Reading
health,健康,noun,reading_health,4,47,IELTS_Reading
healthy,健康的,adjective,reading_health,4,47,IELTS_Reading
medicine,医学,noun,reading_health,5,45,IELTS_Reading
medical,医学的,adjective,reading_health,5,45,IELTS_Reading
patient,病人,noun,reading_health,5,45,IELTS_Reading
doctor,医生,noun,reading_health,4,47,IELTS_Reading
physician,内科医生,noun,reading_health,6,43,IELTS_Reading
surgeon,外科医生,noun,reading_health,6,43,IELTS_Reading
nurse,护士,noun,reading_health,4,47,IELTS_Reading
hospital,医院,noun,reading_health,4,47,IELTS_Reading
clinic,诊所,noun,reading_health,5,45,IELTS_Reading
pharmacy,药房,noun,reading_health,6,43,IELTS_Reading
treatment,治疗,noun,reading_health,5,45,IELTS_Reading
therapy,治疗,noun,reading_health,6,43,IELTS_Reading
diagnosis,诊断,noun,reading_health,7,41,IELTS_Reading
symptom,症状,noun,reading_health,6,43,IELTS_Reading
disease,疾病,noun,reading_health,5,45,IELTS_Reading
illness,疾病,noun,reading_health,5,45,IELTS_Reading
infection,感染,noun,reading_health,6,43,IELTS_Reading
virus,病毒,noun,reading_health,5,45,IELTS_Reading
bacteria,细菌,noun,reading_health,6,43,IELTS_Reading
immune,免疫的,adjective,reading_health,7,41,IELTS_Reading
vaccine,疫苗,noun,reading_health,6,43,IELTS_Reading
prescription,处方,noun,reading_health,6,43,IELTS_Reading
medication,药物,noun,reading_health,6,43,IELTS_Reading
drug,药物,noun,reading_health,5,45,IELTS_Reading
antibiotic,抗生素,noun,reading_health,7,41,IELTS_Reading
nutrition,营养,noun,reading_health,6,43,IELTS_Reading
nutritional,营养的,adjective,reading_health,6,43,IELTS_Reading
diet,饮食,noun,reading_health,5,45,IELTS_Reading
exercise,锻炼,noun,reading_health,4,47,IELTS_Reading
fitness,健康,noun,reading_health,5,45,IELTS_Reading
