word,translation,pos,category,level,frequency,source
analyze,分析,noun,academic,7,67,AWL
analyzes,分析,noun,academic,7,66,AWL
analyzing,分析,noun,academic,7,65,AWL
analyzed,分析,noun,academic,7,64,AWL
analyses,分析,noun,academic,7,63,AWL
analyst,分析,noun,academic,7,67,AWL
analysts,分析,noun,academic,7,66,AWL
analytic,分析,noun,academic,7,65,AWL
analytical,分析,noun,academic,7,64,AWL
analytically,分析,noun,academic,7,63,AWL
approaches,方法/接近,noun/verb,academic,7,67,AWL
approached,方法/接近,noun/verb,academic,7,66,AWL
approaching,方法/接近,noun/verb,academic,7,65,AWL
approachable,方法/接近,noun/verb,academic,7,64,AWL
areas,领域,noun,academic,7,67,AWL
assess,评估,noun,academic,7,67,AWL
assesses,评估,noun,academic,7,66,AWL
assessing,评估,noun,academic,7,65,AWL
assessed,评估,noun,academic,7,64,AWL
assessable,评估,noun,academic,7,63,AWL
assessments,评估,noun,academic,7,67,AWL
reassess,评估,noun,academic,7,66,AWL
reassessed,评估,noun,academic,7,65,AWL
reassessing,评估,noun,academic,7,64,AWL
reassessment,评估,noun,academic,7,63,AWL
assumes,假设,verb,academic,7,67,AWL
assuming,假设,verb,academic,7,66,AWL
assumed,假设,verb,academic,7,65,AWL
assumption,假设,verb,academic,7,64,AWL
assumptions,假设,verb,academic,7,63,AWL
authorities,权威,noun,academic,7,67,AWL
authoritative,权威,noun,academic,7,66,AWL
authoritatively,权威,noun,academic,7,65,AWL
availability,可用的,adjective,academic,7,67,AWL
unavailable,可用的,adjective,academic,7,66,AWL
benefits,益处,noun/verb,academic,7,67,AWL
benefited,益处,noun/verb,academic,7,66,AWL
benefiting,益处,noun/verb,academic,7,65,AWL
beneficial,益处,noun/verb,academic,7,64,AWL
beneficiary,益处,noun/verb,academic,7,63,AWL
beneficiaries,益处,noun/verb,academic,7,67,AWL
concepts,概念,noun,academic,7,67,AWL
conception,概念,noun,academic,7,66,AWL
conceptual,概念,noun,academic,7,65,AWL
conceptually,概念,noun,academic,7,64,AWL
conceptualize,概念,noun,academic,7,63,AWL
conceptualization,概念,noun,academic,7,67,AWL
consists,由...组成,verb,academic,7,67,AWL
consisted,由...组成,verb,academic,7,66,AWL
consisting,由...组成,verb,academic,7,65,AWL
consistency,由...组成,verb,academic,7,64,AWL
inconsistency,由...组成,verb,academic,7,63,AWL
consistent,由...组成,verb,academic,7,67,AWL
inconsistent,由...组成,verb,academic,7,66,AWL
consistently,由...组成,verb,academic,7,65,AWL
constitutes,构成,verb,academic,7,67,AWL
constituted,构成,verb,academic,7,66,AWL
constituting,构成,verb,academic,7,65,AWL
constituent,构成,verb,academic,7,64,AWL
constituents,构成,verb,academic,7,63,AWL
constituency,构成,verb,academic,7,67,AWL
constituencies,构成,verb,academic,7,66,AWL
constitution,构成,verb,academic,7,65,AWL
constitutional,构成,verb,academic,7,64,AWL
constitutionally,构成,verb,academic,7,63,AWL
constitutive,构成,verb,academic,7,67,AWL
contexts,上下文,noun,academic,7,67,AWL
contextual,上下文,noun,academic,7,66,AWL
contextualize,上下文,noun,academic,7,65,AWL
contextualization,上下文,noun,academic,7,64,AWL
contracts,合同,noun/verb,academic,7,67,AWL
contracted,合同,noun/verb,academic,7,66,AWL
contracting,合同,noun/verb,academic,7,65,AWL
contractor,合同,noun/verb,academic,7,64,AWL
contractors,合同,noun/verb,academic,7,63,AWL
creates,创造,verb,academic,7,67,AWL
creating,创造,verb,academic,7,66,AWL
created,创造,verb,academic,7,65,AWL
creation,创造,verb,academic,7,64,AWL
creations,创造,verb,academic,7,63,AWL
creative,创造,verb,academic,7,67,AWL
creatively,创造,verb,academic,7,66,AWL
creator,创造,verb,academic,7,65,AWL
creators,创造,verb,academic,7,64,AWL
datum,数据,noun,academic,7,67,AWL
defines,定义,verb,academic,7,67,AWL
defining,定义,verb,academic,7,66,AWL
defined,定义,verb,academic,7,65,AWL
definition,定义,verb,academic,7,64,AWL
definitions,定义,verb,academic,7,63,AWL
definable,定义,verb,academic,7,67,AWL
undefined,定义,verb,academic,7,66,AWL
redefine,定义,verb,academic,7,65,AWL
redefining,定义,verb,academic,7,64,AWL
redefined,定义,verb,academic,7,63,AWL
derives,推导,verb,academic,7,67,AWL
deriving,推导,verb,academic,7,66,AWL
derived,推导,verb,academic,7,65,AWL
derivation,推导,verb,academic,7,64,AWL
derivations,推导,verb,academic,7,63,AWL
derivative,推导,verb,academic,7,67,AWL
derivatives,推导,verb,academic,7,66,AWL
distributes,分配,verb,academic,7,67,AWL
distributing,分配,verb,academic,7,66,AWL
distributed,分配,verb,academic,7,65,AWL
distribution,分配,verb,academic,7,64,AWL
distributions,分配,verb,academic,7,63,AWL
distributive,分配,verb,academic,7,67,AWL
distributor,分配,verb,academic,7,66,AWL
distributors,分配,verb,academic,7,65,AWL
economies,经济,noun,academic,7,67,AWL
economic,经济,noun,academic,7,66,AWL
economical,经济,noun,academic,7,65,AWL
economically,经济,noun,academic,7,64,AWL
economist,经济,noun,academic,7,63,AWL
economists,经济,noun,academic,7,67,AWL
economics,经济,noun,academic,7,66,AWL
environments,环境,noun,academic,7,67,AWL
environmental,环境,noun,academic,7,66,AWL
environmentally,环境,noun,academic,7,65,AWL
environmentalist,环境,noun,academic,7,64,AWL
environmentalists,环境,noun,academic,7,63,AWL
establishes,建立,verb,academic,7,67,AWL
establishing,建立,verb,academic,7,66,AWL
established,建立,verb,academic,7,65,AWL
establishment,建立,verb,academic,7,64,AWL
establishments,建立,verb,academic,7,63,AWL
estimates,估计,verb/noun,academic,7,67,AWL
