word,translation,pos,category,level,frequency,source
accommodation,住宿,noun,listening_accommodation,5,40,IELTS_Listening
apartment,公寓,noun,listening_accommodation,5,40,IELTS_Listening
flat,公寓,noun,listening_accommodation,5,40,IELTS_Listening
house,房子,noun,listening_accommodation,4,42,IELTS_Listening
dormitory,宿舍,noun,listening_accommodation,5,40,IELTS_Listening
hostel,旅舍,noun,listening_accommodation,5,40,IELTS_Listening
hotel,酒店,noun,listening_accommodation,4,42,IELTS_Listening
motel,汽车旅馆,noun,listening_accommodation,5,40,IELTS_Listening
residence,住宅,noun,listening_accommodation,6,38,IELTS_Listening
homestay,寄宿家庭,noun,listening_accommodation,5,40,IELTS_Listening
rent,租金,noun/verb,listening_accommodation,5,40,IELTS_Listening
deposit,押金,noun,listening_accommodation,5,40,IELTS_Listening
landlord,房东,noun,listening_accommodation,5,40,IELTS_Listening
landlady,女房东,noun,listening_accommodation,5,40,IELTS_Listening
tenant,租户,noun,listening_accommodation,6,38,IELTS_Listening
roommate,室友,noun,listening_accommodation,5,40,IELTS_Listening
bathroom,浴室,noun,listening_accommodation,4,42,IELTS_Listening
bedroom,卧室,noun,listening_accommodation,4,42,IELTS_Listening
kitchen,厨房,noun,listening_accommodation,4,42,IELTS_Listening
living room,客厅,noun,listening_accommodation,4,42,IELTS_Listening
dining room,餐厅,noun,listening_accommodation,4,42,IELTS_Listening
garage,车库,noun,listening_accommodation,5,40,IELTS_Listening
garden,花园,noun,listening_accommodation,4,42,IELTS_Listening
balcony,阳台,noun,listening_accommodation,5,40,IELTS_Listening
basement,地下室,noun,listening_accommodation,5,40,IELTS_Listening
furniture,家具,noun,listening_accommodation,5,40,IELTS_Listening
furnished,带家具的,adjective,listening_accommodation,5,40,IELTS_Listening
unfurnished,无家具的,adjective,listening_accommodation,6,38,IELTS_Listening
facility,设施,noun,listening_accommodation,6,38,IELTS_Listening
utilities,公用事业,noun,listening_accommodation,6,38,IELTS_Listening
heating,暖气,noun,listening_accommodation,5,40,IELTS_Listening
air conditioning,空调,noun,listening_accommodation,5,40,IELTS_Listening
refrigerator,冰箱,noun,listening_accommodation,5,40,IELTS_Listening
washing machine,洗衣机,noun,listening_accommodation,5,40,IELTS_Listening
microwave,微波炉,noun,listening_accommodation,5,40,IELTS_Listening
stove,炉子,noun,listening_accommodation,5,40,IELTS_Listening
contract,合同,noun,listening_accommodation,5,40,IELTS_Listening
lease,租约,noun,listening_accommodation,6,38,IELTS_Listening
bill,账单,noun,listening_accommodation,5,40,IELTS_Listening
university,大学,noun,listening_education,4,42,IELTS_Listening
college,学院,noun,listening_education,4,42,IELTS_Listening
campus,校园,noun,listening_education,5,40,IELTS_Listening
faculty,院系,noun,listening_education,6,38,IELTS_Listening
department,系,noun,listening_education,5,40,IELTS_Listening
institute,研究所,noun,listening_education,6,38,IELTS_Listening
academy,学院,noun,listening_education,5,40,IELTS_Listening
library,图书馆,noun,listening_education,4,42,IELTS_Listening
laboratory,实验室,noun,listening_education,6,38,IELTS_Listening
lecture,讲座,noun,listening_education,5,40,IELTS_Listening
seminar,研讨会,noun,listening_education,6,38,IELTS_Listening
tutorial,辅导课,noun,listening_education,6,38,IELTS_Listening
workshop,研讨会,noun,listening_education,6,38,IELTS_Listening
course,课程,noun,listening_education,4,42,IELTS_Listening
curriculum,课程,noun,listening_education,6,38,IELTS_Listening
subject,科目,noun,listening_education,4,42,IELTS_Listening
discipline,学科,noun,listening_education,6,38,IELTS_Listening
major,专业,noun,listening_education,5,40,IELTS_Listening
minor,辅修,noun,listening_education,6,38,IELTS_Listening
degree,学位,noun,listening_education,5,40,IELTS_Listening
diploma,文凭,noun,listening_education,5,40,IELTS_Listening
certificate,证书,noun,listening_education,5,40,IELTS_Listening
