word,translation,pos,category,level,frequency,source
ability,能力,noun,oxford_a_words,5,90,Oxford_3000
able,能够,adjective,oxford_a_words,4,95,Oxford_3000
about,关于,preposition,oxford_a_words,3,98,Oxford_3000
above,在...上面,preposition,oxford_a_words,4,90,Oxford_3000
abroad,在国外,adverb,oxford_a_words,5,75,Oxford_3000
absence,缺席,noun,oxford_a_words,5,75,Oxford_3000
absent,缺席的,adjective,oxford_a_words,5,70,Oxford_3000
absolute,绝对的,adjective,oxford_a_words,6,75,Oxford_3000
absolutely,绝对地,adverb,oxford_a_words,5,80,Oxford_3000
accept,接受,verb,oxford_a_words,4,90,Oxford_3000
access,进入,noun,oxford_a_words,5,85,Oxford_3000
accident,事故,noun,oxford_a_words,4,85,Oxford_3000
accommodation,住宿,noun,oxford_a_words,5,80,Oxford_3000
accompany,陪伴,verb,oxford_a_words,5,75,Oxford_3000
according,根据,preposition,oxford_a_words,4,90,Oxford_3000
account,账户,noun,oxford_a_words,4,85,Oxford_3000
accurate,准确的,adjective,oxford_a_words,5,80,Oxford_3000
achieve,实现,verb,oxford_a_words,5,90,Oxford_3000
achievement,成就,noun,oxford_a_words,5,85,Oxford_3000
acid,酸,noun,oxford_a_words,6,65,Oxford_3000
acknowledge,承认,verb,oxford_a_words,6,80,Oxford_3000
across,横过,preposition,oxford_a_words,4,90,Oxford_3000
act,行动,verb,oxford_a_words,3,90,Oxford_3000
action,行动,noun,oxford_a_words,4,90,Oxford_3000
active,活跃的,adjective,oxford_a_words,4,85,Oxford_3000
activity,活动,noun,oxford_a_words,4,90,Oxford_3000
actor,演员,noun,oxford_a_words,4,80,Oxford_3000
actress,女演员,noun,oxford_a_words,4,75,Oxford_3000
actual,实际的,adjective,oxford_a_words,4,85,Oxford_3000
actually,实际上,adverb,oxford_a_words,4,90,Oxford_3000
adapt,适应,verb,oxford_a_words,5,80,Oxford_3000
add,添加,verb,oxford_a_words,3,95,Oxford_3000
addition,加法,noun,oxford_a_words,4,85,Oxford_3000
additional,额外的,adjective,oxford_a_words,5,80,Oxford_3000
address,地址,noun,oxford_a_words,4,90,Oxford_3000
adequate,足够的,adjective,oxford_a_words,6,75,Oxford_3000
