word,translation,pos,category,level,frequency,source
accordingly,相应地,adverb,writing,7,75,IELTS_Writing
acknowledge,承认,verb,writing,6,80,IELTS_Writing
acquire,获得,verb,writing,6,80,IELTS_Writing
adequate,足够的,adjective,writing,6,75,IELTS_Writing
advocate,提倡,verb/noun,writing,7,75,IELTS_Writing
alleviate,减轻,verb,writing,7,70,IELTS_Writing
alternative,替代的,adjective,writing,6,80,IELTS_Writing
anticipate,预期,verb,writing,7,75,IELTS_Writing
apparent,明显的,adjective,writing,6,75,IELTS_Writing
appendix,附录,noun,writing,7,65,IELTS_Writing
applicable,适用的,adjective,writing,7,70,IELTS_Writing
arbitrary,任意的,adjective,writing,7,70,IELTS_Writing
assert,断言,verb,writing,7,75,IELTS_Writing
assess,评估,verb,writing,6,80,IELTS_Writing
assign,分配,verb,writing,6,75,IELTS_Writing
assume,假设,verb,writing,6,80,IELTS_Writing
assure,保证,verb,writing,6,75,IELTS_Writing
attach,附加,verb,writing,6,75,IELTS_Writing
attain,达到,verb,writing,7,70,IELTS_Writing
attitude,态度,noun,writing,5,85,IELTS_Writing
attribute,属性,noun,writing,6,75,IELTS_Writing
authority,权威,noun,writing,6,80,IELTS_Writing
automate,自动化,verb,writing,7,70,IELTS_Writing
benefit,益处,noun,writing,5,90,IELTS_Writing
bias,偏见,noun,writing,6,75,IELTS_Writing
breach,违反,noun,writing,7,70,IELTS_Writing
brief,简短的,adjective,writing,5,80,IELTS_Writing
capable,有能力的,adjective,writing,5,80,IELTS_Writing
capacity,容量,noun,writing,6,75,IELTS_Writing
cease,停止,verb,writing,6,70,IELTS_Writing
challenge,挑战,noun,writing,5,85,IELTS_Writing
channel,渠道,noun,writing,6,75,IELTS_Writing
chapter,章节,noun,writing,5,75,IELTS_Writing
chart,图表,noun,writing,5,75,IELTS_Writing
circumstance,情况,noun,writing,6,75,IELTS_Writing
cite,引用,verb,writing,6,75,IELTS_Writing
civil,公民的,adjective,writing,6,75,IELTS_Writing
clarify,澄清,verb,writing,6,75,IELTS_Writing
classic,经典的,adjective,writing,6,75,IELTS_Writing
clause,条款,noun,writing,6,70,IELTS_Writing
code,代码,noun,writing,5,75,IELTS_Writing
coherent,连贯的,adjective,writing,7,70,IELTS_Writing
coincide,巧合,verb,writing,7,65,IELTS_Writing
collapse,崩溃,noun/verb,writing,6,75,IELTS_Writing
colleague,同事,noun,writing,5,80,IELTS_Writing
commence,开始,verb,writing,6,70,IELTS_Writing
comment,评论,noun,writing,5,85,IELTS_Writing
commission,委员会,noun,writing,6,75,IELTS_Writing
commit,承诺,verb,writing,6,75,IELTS_Writing
commodity,商品,noun,writing,7,70,IELTS_Writing
communicate,交流,verb,writing,5,85,IELTS_Writing
compatible,兼容的,adjective,writing,7,70,IELTS_Writing
compensate,补偿,verb,writing,6,75,IELTS_Writing
compile,编译,verb,writing,7,70,IELTS_Writing
complement,补充,noun,writing,7,70,IELTS_Writing
complex,复杂的,adjective,writing,5,85,IELTS_Writing
complicate,使复杂,verb,writing,6,75,IELTS_Writing
component,组件,noun,writing,6,75,IELTS_Writing
compose,组成,verb,writing,6,75,IELTS_Writing
compound,化合物,noun,writing,6,70,IELTS_Writing
comprehensive,全面的,adjective,writing,6,75,IELTS_Writing
comprise,包含,verb,writing,6,75,IELTS_Writing
compute,计算,verb,writing,6,70,IELTS_Writing
conceive,构想,verb,writing,7,70,IELTS_Writing
concentrate,集中,verb,writing,5,75,IELTS_Writing
concept,概念,noun,writing,5,85,IELTS_Writing
conclude,总结,verb,writing,6,80,IELTS_Writing
concurrent,同时的,adjective,writing,7,65,IELTS_Writing
conduct,进行,verb,writing,6,80,IELTS_Writing
confer,授予,verb,writing,7,70,IELTS_Writing
confine,限制,verb,writing,6,75,IELTS_Writing
